,batsman,matches,hard_hitting_ability,finisher,fast_scoring_ability,consistency,running_between_wickets
401,TA Boult,1,0.0,1.0,0.625,5.0,0.625
402,RS Gavaskar,1,0.0,0.0,0.25,2.0,0.25
403,A Zampa,2,0.125,0.0,0.625,2.5,0.14285714285714285
404,Shoaib Akhtar,1,0.0,0.0,0.25,2.0,0.25
405,AN Ghosh,2,0.125,0.0,0.875,3.5,0.42857142857142855
406,VS Malik,2,0.14285714285714285,0.5,1.0,7.0,0.5
407,A Uniyal,2,0.0,0.5,0.5714285714285714,4.0,0.5714285714285714
408,SS Shaikh,1,0.14285714285714285,0.0,0.8571428571428571,6.0,0.3333333333333333
409,Younis Khan,1,0.0,0.0,0.42857142857142855,3.0,0.42857142857142855
410,BA Bhatt,2,0.14285714285714285,0.5,0.8571428571428571,6.0,0.0
411,A Chandila,2,0.0,1.0,0.5714285714285714,4.0,0.5714285714285714
412,R Ninan,1,0.0,0.0,0.5,3.0,0.5
413,Shoaib Ahmed,3,0.0,0.3333333333333333,0.16666666666666666,0.5,0.16666666666666666
414,BAW Mendis,3,0.0,0.3333333333333333,0.5,1.5,0.5
415,Mohammad Asif,2,0.0,0.0,0.5,1.5,0.5
416,DL Chahar,1,0.3333333333333333,0.0,2.3333333333333335,14.0,0.5
417,H Das,1,0.0,0.0,0.4,2.0,0.4
418,GD McGrath,2,0.2,0.5,0.8,4.0,0.0
419,Kamran Khan,1,0.0,0.0,0.6,3.0,0.6
420,SJ Srivastava,4,0.0,0.75,1.0,5.0,1.0
421,CJ Jordan,2,0.0,0.0,0.6,1.5,0.6
422,FH Edwards,2,0.0,0.5,0.8,4.0,0.8
423,DM Bravo,1,0.2,1.0,1.2,6.0,0.5
424,BB Sran,3,0.0,1.0,1.0,4.0,1.0
425,S Tyagi,1,0.0,0.0,0.75,3.0,0.75
426,S Randiv,1,0.0,0.0,0.5,2.0,0.5
427,JE Taylor,2,0.0,0.5,0.75,3.0,0.75
428,KP Appanna,3,0.0,0.6666666666666666,0.5,2.0,0.5
429,I Malhotra,1,0.25,1.0,1.75,7.0,1.0
430,Shivam Sharma,2,0.3333333333333333,0.5,1.6666666666666667,5.0,0.5
431,CRD Fernando,2,0.0,1.0,1.3333333333333333,4.0,1.3333333333333333
432,P Parameswaran,2,0.0,1.0,0.3333333333333333,1.0,0.3333333333333333
433,BE Hendricks,2,0.0,0.5,0.3333333333333333,1.0,0.3333333333333333
434,DJ Muthuswami,1,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333
435,KMDN Kulasekara,1,0.3333333333333333,1.0,1.6666666666666667,5.0,0.5
436,SB Wagh,2,0.0,0.0,0.6666666666666666,1.0,0.6666666666666666
437,Mohammad Nabi,1,0.0,0.0,0.6666666666666666,2.0,0.6666666666666666
438,VRV Singh,2,0.3333333333333333,0.0,1.3333333333333333,2.0,0.0
439,M de Lange,1,0.0,0.0,0.5,1.0,0.5
440,PM Sarvesh Kumar,1,0.0,1.0,0.5,1.0,0.5
441,L Ablish,1,0.0,1.0,0.0,0.0,0.0
442,VS Yeligati,1,0.0,0.0,1.0,2.0,1.0
443,RR Bhatkal,1,0.0,0.0,0.0,0.0,0.0
444,Mashrafe Mortaza,1,0.0,1.0,1.0,2.0,1.0
445,SE Bond,1,0.0,0.0,0.5,1.0,0.5
446,IC Pandey,1,0.0,0.0,0.0,0.0,0.0
447,RS Sodhi,1,0.5,1.0,2.0,4.0,0.0
448,RG More,1,0.0,1.0,1.0,2.0,1.0
449,RD Chahar,1,0.0,1.0,1.5,3.0,1.5
450,Abdur Razzak,1,0.0,1.0,0.0,0.0,0.0
451,M Ashwin,1,0.0,0.0,0.0,0.0,0.0
452,DP Vijaykumar,1,0.0,1.0,1.0,1.0,1.0
453,V Pratap Singh,1,0.0,0.0,0.0,0.0,0.0
454,U Kaul,1,0.0,1.0,0.0,0.0,0.0
455,LH Ferguson,1,0.0,1.0,1.0,1.0,1.0
456,C Nanda,1,0.0,0.0,0.0,0.0,0.0
457,NJ Rimmington,1,0.0,1.0,1.0,1.0,1.0
458,Sunny Gupta,1,0.0,0.0,0.0,0.0,0.0
459,S Kaushik,1,0.0,0.0,0.0,0.0,0.0
460,YA Abdulla,1,0.0,1.0,0.0,0.0,0.0
